Kolk M.; Andersson L.; Pettersson E.; and Drefahl S. (2021). The Swedish Kinship Universe – A demographic account of the number of children parents siblings grandchildren grandparents aunts/uncles nieces/nephews and cousins using national population registers. Stockholm Research Reports in Demography 28. doi:10.17045/sthlmuni.17704988.v1.,,
The data includes the data from the study based on Swedish born indivudals resident in Sweden 2018. The data is from figure 11 in the working paper.,,
,,
cohort,mean,kin
1915,3.423076923,grandchildren
1916,3.651626016,grandchildren
1917,3.679182328,grandchildren
1918,3.801130284,grandchildren
1919,3.752409057,grandchildren
1920,3.679965186,grandchildren
1921,3.53058744,grandchildren
1922,3.549835896,grandchildren
1923,3.585378142,grandchildren
1924,3.627768571,grandchildren
1925,3.625695563,grandchildren
1926,3.671763877,grandchildren
1927,3.782752528,grandchildren
1928,3.769245037,grandchildren
1929,3.767417268,grandchildren
1930,3.80450797,grandchildren
1931,3.775617552,grandchildren
1932,3.82246371,grandchildren
1933,3.790221487,grandchildren
1934,3.769625561,grandchildren
1935,3.730328329,grandchildren
1936,3.721065785,grandchildren
1937,3.68079103,grandchildren
1938,3.607472059,grandchildren
1939,3.553046202,grandchildren
1940,3.490003902,grandchildren
1941,3.439910936,grandchildren
1942,3.374805324,grandchildren
1943,3.299448547,grandchildren
1944,3.243273189,grandchildren
1945,3.164390707,grandchildren
1946,3.103502169,grandchildren
1947,3.015912553,grandchildren
1948,2.925163615,grandchildren
1949,2.817436543,grandchildren
1950,2.674980959,grandchildren
1951,2.527604805,grandchildren
1952,2.354454228,grandchildren
1953,2.19940979,grandchildren
1954,2.010638277,grandchildren
1955,1.83007438,grandchildren
1956,1.659411548,grandchildren
1957,1.484182049,grandchildren
1958,1.301124135,grandchildren
1959,1.132524709,grandchildren
1960,0.974742075,grandchildren
1961,0.828493059,grandchildren
1962,0.709388534,grandchildren
1963,0.590491226,grandchildren
1964,0.482957387,grandchildren
1965,0.392673649,grandchildren
1966,0.303502971,grandchildren
1967,0.24026882,grandchildren
1968,0.17776235,grandchildren
1969,0.132162594,grandchildren
1970,0.098308934,grandchildren
1971,0.066943376,grandchildren
1972,0.043805735,grandchildren
1973,0.027847312,grandchildren
1974,0.017272481,grandchildren
1975,0.010920285,grandchildren
1976,0.005988644,grandchildren
1977,0.003693731,grandchildren
1978,0.002168855,grandchildren
1979,0.001163503,grandchildren
1980,0.000661861,grandchildren
1981,0.000313587,grandchildren
1982,0.00019034,grandchildren
1983,5.99E-05,grandchildren
1984,2.29E-05,grandchildren
1915,1.955494505,children
1916,1.82195122,children
1917,1.754072016,children
1918,1.840924291,children
1919,1.799881412,children
1920,1.782292192,children
1921,1.739198255,children
1922,1.786355753,children
1923,1.808274065,children
1924,1.837493258,children
1925,1.843501957,children
1926,1.85129327,children
1927,1.916414557,children
1928,1.908825784,children
1929,1.925069467,children
1930,1.954459503,children
1931,1.968766585,children
1932,1.982413642,children
1933,1.987612672,children
1934,1.99630534,children
1935,1.990218525,children
1936,1.994314796,children
1937,1.989219566,children
1938,1.97163194,children
1939,1.952782105,children
1940,1.947574181,children
1941,1.937380517,children
1942,1.927650154,children
1943,1.913297595,children
1944,1.911173009,children
1945,1.907417829,children
1946,1.913882213,children
1947,1.921296701,children
1948,1.928314205,children
1949,1.930512034,children
1950,1.929864618,children
1951,1.931018943,children
1952,1.925188068,children
1953,1.933687348,children
1954,1.922476122,children
1955,1.930109311,children
1956,1.930286899,children
1957,1.934764235,children
1958,1.926143113,children
1959,1.917270276,children
1960,1.905414382,children
1961,1.88910868,children
1962,1.888938334,children
1963,1.881012107,children
1964,1.877172613,children
1965,1.866391483,children
1966,1.849308819,children
1967,1.844318675,children
1968,1.831739464,children
1969,1.822211514,children
1970,1.820686778,children
1971,1.814722308,children
1972,1.801477118,children
1973,1.794566467,children
1974,1.784166432,children
1975,1.759007675,children
1976,1.727618489,children
1977,1.701386878,children
1978,1.654306244,children
1979,1.590292032,children
1980,1.525320183,children
1981,1.436089955,children
1982,1.32981963,children
1983,1.217233297,children
1984,1.095630025,children
1985,0.970974733,children
1986,0.834368318,children
1987,0.694884249,children
1988,0.570831855,children
1989,0.448956731,children
1990,0.340860196,children
1991,0.248212131,children
1992,0.169970626,children
1993,0.11099971,children
1994,0.06943884,children
1995,0.043291931,children
1996,0.025441639,children
1997,0.013202774,children
1998,0.00605407,children
1999,0.003005472,children
2000,0.001275388,children
2001,0.000407078,children
2002,8.70E-05,children
2003,4.24E-05,children
1932,0.973029304,nephews/nieces
1933,1.88547691,nephews/nieces
1934,2.35265792,nephews/nieces
1935,2.65210681,nephews/nieces
1936,2.865601545,nephews/nieces
1937,3.069370396,nephews/nieces
1938,3.248102572,nephews/nieces
1939,3.393775856,nephews/nieces
1940,3.568928731,nephews/nieces
1941,3.640348065,nephews/nieces
1942,3.585227636,nephews/nieces
1943,3.539563407,nephews/nieces
1944,3.533727094,nephews/nieces
1945,3.57988464,nephews/nieces
1946,3.695866712,nephews/nieces
1947,3.768255981,nephews/nieces
1948,3.859260448,nephews/nieces
1949,3.921839674,nephews/nieces
1950,4.001456415,nephews/nieces
1951,4.018025522,nephews/nieces
1952,4.068888816,nephews/nieces
1953,4.089853195,nephews/nieces
1954,4.114455477,nephews/nieces
1955,4.13200352,nephews/nieces
1956,4.11503716,nephews/nieces
1957,4.096302951,nephews/nieces
1958,4.076723841,nephews/nieces
1959,4.067138761,nephews/nieces
1960,4.046041308,nephews/nieces
1961,4.010468733,nephews/nieces
1962,3.949056663,nephews/nieces
1963,3.873657662,nephews/nieces
1964,3.783029371,nephews/nieces
1965,3.681964965,nephews/nieces
1966,3.548619351,nephews/nieces
1967,3.451972673,nephews/nieces
1968,3.375891424,nephews/nieces
1969,3.330244607,nephews/nieces
1970,3.26548379,nephews/nieces
1971,3.182709697,nephews/nieces
1972,3.126102837,nephews/nieces
1973,3.051900935,nephews/nieces
1974,3.000427372,nephews/nieces
1975,2.941129279,nephews/nieces
1976,2.897700804,nephews/nieces
1977,2.852086328,nephews/nieces
1978,2.805131761,nephews/nieces
1979,2.768980342,nephews/nieces
1980,2.6726343,nephews/nieces
1981,2.581152014,nephews/nieces
1982,2.495884031,nephews/nieces
1983,2.40165629,nephews/nieces
1984,2.270357821,nephews/nieces
1985,2.163406364,nephews/nieces
1986,1.9713816,nephews/nieces
1987,1.780882323,nephews/nieces
1988,1.614650554,nephews/nieces
1989,1.442002842,nephews/nieces
1990,1.295550586,nephews/nieces
1991,1.158731781,nephews/nieces
1992,1.020010121,nephews/nieces
1993,0.895502174,nephews/nieces
1994,0.765859863,nephews/nieces
1995,0.667309411,nephews/nieces
1996,0.575527783,nephews/nieces
1997,0.503690268,nephews/nieces
1998,0.449300679,nephews/nieces
1999,0.389658528,nephews/nieces
2000,0.346866049,nephews/nieces
2001,0.288217861,nephews/nieces
2002,0.239076687,nephews/nieces
2003,0.20313143,nephews/nieces
2004,0.16858861,nephews/nieces
2005,0.139020187,nephews/nieces
2006,0.114433716,nephews/nieces
2007,0.095293501,nephews/nieces
2008,0.082212662,nephews/nieces
2009,0.065383102,nephews/nieces
2010,0.053422975,nephews/nieces
2011,0.044174691,nephews/nieces
2012,0.033331534,nephews/nieces
2013,0.026815473,nephews/nieces
2014,0.020166167,nephews/nieces
2015,0.017210445,nephews/nieces
2016,0.012665913,nephews/nieces
2017,0.010754651,nephews/nieces
1932,0.366919679,siblings
1933,0.71866835,siblings
1934,0.896117949,siblings
1935,1.016046056,siblings
1936,1.11139885,siblings
1937,1.190163201,siblings
1938,1.274242871,siblings
1939,1.347911949,siblings
1940,1.435768512,siblings
1941,1.480650332,siblings
1942,1.478707482,siblings
1943,1.47750675,siblings
1944,1.494844931,siblings
1945,1.532560907,siblings
1946,1.596729728,siblings
1947,1.645428833,siblings
1948,1.70530243,siblings
1949,1.749217984,siblings
1950,1.801210109,siblings
1951,1.826475194,siblings
1952,1.873202272,siblings
1953,1.896545769,siblings
1954,1.924020237,siblings
1955,1.946166466,siblings
1956,1.96202802,siblings
1957,1.971125156,siblings
1958,1.981482676,siblings
1959,1.989674276,siblings
1960,2.005803434,siblings
1961,2.000793736,siblings
1962,1.997968517,siblings
